@relation 'movie_reviews-weka.filters.unsupervised.attribute.Remove-V-R831,43,586,249,126,65,2,371,1329,75,633,420,1046,927,856,460,1346,924,972,1331,892,1268,1130,1036,1121,974,680,45,18,368,1180,732,145,225,167,82,1114,606,165,794,705,1150,925,1153,423,704,366,1287,397,876,198,1053,1285,550,803,1063,314,1308,176,641,1001,1393,832,118,84,1029,459,807,849,78,532,359,1040,617,797,1021,1111,346,415,1138,1197,1075,1109,1323,919,77,1328,979,743,283,1101,1129,1119,1200,1082,1395,793,380,376,38,1025,1404,734,251,1267,1240,1191,96,759,357,58,1299,874,1377,1154,738,1020,941,290,478,767,210,1169,600,127,130,370,808,858,698,619,424,748,173,833,649,291,1009,272,863,1043,401,847,502,765,910,746,957,1281,747,279,123,1340,1048,464,656,653,1356,63,134,27,237,838,993,30,489,1081,15,55,79,577,1223,983,303,968,395,1147,106,343,392,841,655,102,172,427,356,610,846,438,1204,74,1065,48,1269,469,491,1026,1160,741,546,718,1407,69,1317,923,281,514,1307,81,298,665,29,907,37,14,1335,344,310,1190,1122,1086,1143,603,446,1181,1074,416,375,201,320,703,1011,100,835,1151,337,890,651,1136,776,20,883,894,1292,1224,152,810,156,1330,511,1341,53,1405,742,1427,212,449,1196,1140,988,889,501,67,307,488,240,386,1421,864,1260,247,1338,219,708,1408,899,1107,289,852,582,142,696,1213,154,1431,184,248,8,217,613,1295,224,103,861,556,1389,113,456,1345,816,509,1436,447,1202,36,1159,9,623,524,859,68,107,1353,339,1310,538,1438,410,1052,186,525,72,1297,168,149,234,900,540,7,701,277,468,661,1262,340,824,672,503,435,1416,1435,1336,1012,66,1217,181,878,658,605,465,384,265,769,1084,64,499,1252,331,480,6,348,1448'

@attribute 831 numeric
@attribute 43 numeric
@attribute 586 numeric
@attribute 249 numeric
@attribute 126 numeric
@attribute 65 numeric
@attribute 2 numeric
@attribute 371 numeric
@attribute 1329 numeric
@attribute 75 numeric
@attribute 633 numeric
@attribute 420 numeric
@attribute 1046 numeric
@attribute 927 numeric
@attribute 856 numeric
@attribute 460 numeric
@attribute 1346 numeric
@attribute 924 numeric
@attribute 972 numeric
@attribute 1331 numeric
@attribute 892 numeric
@attribute 1268 numeric
@attribute 1130 numeric
@attribute 1036 numeric
@attribute 1121 numeric
@attribute 974 numeric
@attribute 680 numeric
@attribute 45 numeric
@attribute 18 numeric
@attribute 368 numeric
@attribute 1180 numeric
@attribute 732 numeric
@attribute 145 numeric
@attribute 225 numeric
@attribute 167 numeric
@attribute 82 numeric
@attribute 1114 numeric
@attribute 606 numeric
@attribute 165 numeric
@attribute 794 numeric
@attribute 705 numeric
@attribute 1150 numeric
@attribute 925 numeric
@attribute 1153 numeric
@attribute 423 numeric
@attribute 704 numeric
@attribute 366 numeric
@attribute 1287 numeric
@attribute 397 numeric
@attribute 876 numeric
@attribute 198 numeric
@attribute 1053 numeric
@attribute 1285 numeric
@attribute 550 numeric
@attribute 803 numeric
@attribute 1063 numeric
@attribute 314 numeric
@attribute 1308 numeric
@attribute 176 numeric
@attribute 641 numeric
@attribute 1001 numeric
@attribute 1393 numeric
@attribute 832 numeric
@attribute 118 numeric
@attribute 84 numeric
@attribute 1029 numeric
@attribute 459 numeric
@attribute 807 numeric
@attribute 849 numeric
@attribute 78 numeric
@attribute 532 numeric
@attribute 359 numeric
@attribute 1040 numeric
@attribute 617 numeric
@attribute 797 numeric
@attribute 1021 numeric
@attribute 1111 numeric
@attribute 346 numeric
@attribute 415 numeric
@attribute 1138 numeric
@attribute 1197 numeric
@attribute 1075 numeric
@attribute 1109 numeric
@attribute 1323 numeric
@attribute 919 numeric
@attribute 77 numeric
@attribute 1328 numeric
@attribute 979 numeric
@attribute 743 numeric
@attribute 283 numeric
@attribute 1101 numeric
@attribute 1129 numeric
@attribute 1119 numeric
@attribute 1200 numeric
@attribute 1082 numeric
@attribute 1395 numeric
@attribute 793 numeric
@attribute 380 numeric
@attribute 376 numeric
@attribute 38 numeric
@attribute 1025 numeric
@attribute 1404 numeric
@attribute 734 numeric
@attribute 251 numeric
@attribute 1267 numeric
@attribute 1240 numeric
@attribute 1191 numeric
@attribute 96 numeric
@attribute 759 numeric
@attribute 357 numeric
@attribute 58 numeric
@attribute 1299 numeric
@attribute 874 numeric
@attribute 1377 numeric
@attribute 1154 numeric
@attribute 738 numeric
@attribute 1020 numeric
@attribute 941 numeric
@attribute 290 numeric
@attribute 478 numeric
@attribute 767 numeric
@attribute 210 numeric
@attribute 1169 numeric
@attribute 600 numeric
@attribute 127 numeric
@attribute 130 numeric
@attribute 370 numeric
@attribute 808 numeric
@attribute 858 numeric
@attribute 698 numeric
@attribute 619 numeric
@attribute 424 numeric
@attribute 748 numeric
@attribute 173 numeric
@attribute 833 numeric
@attribute 649 numeric
@attribute 291 numeric
@attribute 1009 numeric
@attribute 272 numeric
@attribute 863 numeric
@attribute 1043 numeric
@attribute 401 numeric
@attribute 847 numeric
@attribute 502 numeric
@attribute 765 numeric
@attribute 910 numeric
@attribute 746 numeric
@attribute 957 numeric
@attribute 1281 numeric
@attribute 747 numeric
@attribute 279 numeric
@attribute 123 numeric
@attribute 1340 numeric
@attribute 1048 numeric
@attribute 464 numeric
@attribute 656 numeric
@attribute 653 numeric
@attribute 1356 numeric
@attribute 63 numeric
@attribute 134 numeric
@attribute 27 numeric
@attribute 237 numeric
@attribute 838 numeric
@attribute 993 numeric
@attribute 30 numeric
@attribute 489 numeric
@attribute 1081 numeric
@attribute 15 numeric
@attribute 55 numeric
@attribute 79 numeric
@attribute 577 numeric
@attribute 1223 numeric
@attribute 983 numeric
@attribute 303 numeric
@attribute 968 numeric
@attribute 395 numeric
@attribute 1147 numeric
@attribute 106 numeric
@attribute 343 numeric
@attribute 392 numeric
@attribute 841 numeric
@attribute 655 numeric
@attribute 102 numeric
@attribute 172 numeric
@attribute 427 numeric
@attribute 356 numeric
@attribute 610 numeric
@attribute 846 numeric
@attribute 438 numeric
@attribute 1204 numeric
@attribute 74 numeric
@attribute 1065 numeric
@attribute 48 numeric
@attribute 1269 numeric
@attribute 469 numeric
@attribute 491 numeric
@attribute 1026 numeric
@attribute 1160 numeric
@attribute 741 numeric
@attribute 546 numeric
@attribute 718 numeric
@attribute 1407 numeric
@attribute 69 numeric
@attribute 1317 numeric
@attribute 923 numeric
@attribute 281 numeric
@attribute 514 numeric
@attribute 1307 numeric
@attribute 81 numeric
@attribute 298 numeric
@attribute 665 numeric
@attribute 29 numeric
@attribute 907 numeric
@attribute 37 numeric
@attribute 14 numeric
@attribute 1335 numeric
@attribute 344 numeric
@attribute 310 numeric
@attribute 1190 numeric
@attribute 1122 numeric
@attribute 1086 numeric
@attribute 1143 numeric
@attribute 603 numeric
@attribute 446 numeric
@attribute 1181 numeric
@attribute 1074 numeric
@attribute 416 numeric
@attribute 375 numeric
@attribute 201 numeric
@attribute 320 numeric
@attribute 703 numeric
@attribute 1011 numeric
@attribute 100 numeric
@attribute 835 numeric
@attribute 1151 numeric
@attribute 337 numeric
@attribute 890 numeric
@attribute 651 numeric
@attribute 1136 numeric
@attribute 776 numeric
@attribute 20 numeric
@attribute 883 numeric
@attribute 894 numeric
@attribute 1292 numeric
@attribute 1224 numeric
@attribute 152 numeric
@attribute 810 numeric
@attribute 156 numeric
@attribute 1330 numeric
@attribute 511 numeric
@attribute 1341 numeric
@attribute 53 numeric
@attribute 1405 numeric
@attribute 742 numeric
@attribute 1427 numeric
@attribute 212 numeric
@attribute 449 numeric
@attribute 1196 numeric
@attribute 1140 numeric
@attribute 988 numeric
@attribute 889 numeric
@attribute 501 numeric
@attribute 67 numeric
@attribute 307 numeric
@attribute 488 numeric
@attribute 240 numeric
@attribute 386 numeric
@attribute 1421 numeric
@attribute 864 numeric
@attribute 1260 numeric
@attribute 247 numeric
@attribute 1338 numeric
@attribute 219 numeric
@attribute 708 numeric
@attribute 1408 numeric
@attribute 899 numeric
@attribute 1107 numeric
@attribute 289 numeric
@attribute 852 numeric
@attribute 582 numeric
@attribute 142 numeric
@attribute 696 numeric
@attribute 1213 numeric
@attribute 154 numeric
@attribute 1431 numeric
@attribute 184 numeric
@attribute 248 numeric
@attribute 8 numeric
@attribute 217 numeric
@attribute 613 numeric
@attribute 1295 numeric
@attribute 224 numeric
@attribute 103 numeric
@attribute 861 numeric
@attribute 556 numeric
@attribute 1389 numeric
@attribute 113 numeric
@attribute 456 numeric
@attribute 1345 numeric
@attribute 816 numeric
@attribute 509 numeric
@attribute 1436 numeric
@attribute 447 numeric
@attribute 1202 numeric
@attribute 36 numeric
@attribute 1159 numeric
@attribute 9 numeric
@attribute 623 numeric
@attribute 524 numeric
@attribute 859 numeric
@attribute 68 numeric
@attribute 107 numeric
@attribute 1353 numeric
@attribute 339 numeric
@attribute 1310 numeric
@attribute 538 numeric
@attribute 1438 numeric
@attribute 410 numeric
@attribute 1052 numeric
@attribute 186 numeric
@attribute 525 numeric
@attribute 72 numeric
@attribute 1297 numeric
@attribute 168 numeric
@attribute 149 numeric
@attribute 234 numeric
@attribute 900 numeric
@attribute 540 numeric
@attribute 7 numeric
@attribute 701 numeric
@attribute 277 numeric
@attribute 468 numeric
@attribute 661 numeric
@attribute 1262 numeric
@attribute 340 numeric
@attribute 824 numeric
@attribute 672 numeric
@attribute 503 numeric
@attribute 435 numeric
@attribute 1416 numeric
@attribute 1435 numeric
@attribute 1336 numeric
@attribute 1012 numeric
@attribute 66 numeric
@attribute 1217 numeric
@attribute 181 numeric
@attribute 878 numeric
@attribute 658 numeric
@attribute 605 numeric
@attribute 465 numeric
@attribute 384 numeric
@attribute 265 numeric
@attribute 769 numeric
@attribute 1084 numeric
@attribute 64 numeric
@attribute 499 numeric
@attribute 1252 numeric
@attribute 331 numeric
@attribute 480 numeric
@attribute 6 numeric
@attribute 348 numeric
@attribute class {neg,pos}

@data
1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pos
0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,pos
1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,pos
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pos
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,pos
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pos
0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pos
0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,pos
